dateid	type	money_type	category	amount
20141122	1	1	1	207144899
20141122	1	1	29	16467300
20141122	1	1	37	32799000
20141122	1	1	45	108904000
20141122	1	1	47	1267500
20141122	1	1	54	24000
20141122	1	1	60	28424500
20141122	1	1	66	225565000
20141122	1	1	67	846200000
20141122	1	1	70	468090000
20141122	1	1	71	967769000
20141122	1	2	4	1690800
20141122	1	2	8	4123200
20141122	1	2	13	660000
20141122	2	1	-21	150804
20141122	2	1	-18	351177500
20141122	2	1	-7	1792000
20141122	2	1	-6	5960000
20141122	2	1	-1	158652800
20141123	1	1	1	246851603
20141123	1	1	29	17195700
20141123	1	1	37	47604500
20141123	1	1	45	64014000
20141123	1	1	47	2022500
20141123	1	1	54	73000
20141123	1	1	60	34519500
20141123	1	1	66	303104000
20141123	1	1	67	512990000
20141123	1	1	70	241640000
20141123	1	1	71	279648000
20141123	1	2	4	3415200
20141123	1	2	8	6105100
20141123	1	2	13	1213500
20141123	2	1	-21	798880
20141123	2	1	-18	300062500
20141123	2	1	-7	2765000
20141123	2	1	-6	31595000
20141123	2	1	-1	190905700
20141123	2	2	-14	324200
20141124	1	1	1	196073644
20141124	1	1	29	15766300
20141124	1	1	37	58087500
20141124	1	1	45	23805000
20141124	1	1	47	2529000
20141124	1	1	54	123000
20141124	1	1	60	26014000
20141124	1	1	66	230245000
20141124	1	1	67	207740000
20141124	1	1	70	139900000
20141124	1	1	71	19852000
20141124	1	2	4	3986200
20141124	1	2	8	6858600
20141124	1	2	13	1515000
20141124	2	1	-21	1204264
20141124	2	1	-18	178932500
20141124	2	1	-7	2215000
20141124	2	1	-6	34705000
20141124	2	1	-1	157992600
20141124	2	2	-14	867800
20141125	1	1	1	202794853
20141125	1	1	29	18414500
20141125	1	1	37	86787000
20141125	1	1	45	11939000
20141125	1	1	47	2793500
20141125	1	1	54	133500
20141125	1	1	60	26816500
20141125	1	1	66	224510000
20141125	1	1	67	108750000
20141125	1	1	70	66740000
20141125	1	1	71	13742000
20141125	1	2	4	4890400
20141125	1	2	8	7644600
20141125	1	2	13	1969500
20141125	2	1	-21	1710849
20141125	2	1	-18	170762500
20141125	2	1	-7	1917000
20141125	2	1	-6	50365000
20141125	2	1	-1	173495700
20141125	2	2	-14	1436400
20141126	1	1	1	207810006
20141126	1	1	29	18481200
20141126	1	1	37	82289500
20141126	1	1	45	12246000
20141126	1	1	47	3073500
20141126	1	1	54	170000
20141126	1	1	60	26439500
20141126	1	1	65	270000
20141126	1	1	66	206429000
20141126	1	1	67	300420000
20141126	1	1	70	53240000
20141126	1	1	71	14150000
20141126	1	2	4	5305400
20141126	1	2	8	7469600
20141126	1	2	13	2253500
20141126	2	1	-21	1994689
20141126	2	1	-18	170872500
20141126	2	1	-7	1813000
20141126	2	1	-6	58085000
20141126	2	1	-1	198964000
20141126	2	2	-14	2071500
20141127	1	1	1	220677511
20141127	1	1	29	19353400
20141127	1	1	37	69276500
20141127	1	1	45	63256000
20141127	1	1	47	16298000
20141127	1	1	54	234500
20141127	1	1	60	81826500
20141127	1	1	64	510000
20141127	1	1	65	48320000
20141127	1	1	66	201942000
20141127	1	1	67	193530000
20141127	1	1	70	44580000
20141127	1	1	71	7805000
20141127	1	2	4	5955600
20141127	1	2	8	7436900
20141127	1	2	13	2604500
20141127	2	1	-21	11912425
20141127	2	1	-18	162680000
20141127	2	1	-16	80000
20141127	2	1	-7	1584000
20141127	2	1	-6	63810000
20141127	2	1	-1	220704300
20141127	2	2	-14	2595000
