dateid	type	money_type	category	amount
20141128	1	1	1	239161474
20141128	1	1	29	22666500
20141128	1	1	37	103091000
20141128	1	1	45	41232000
20141128	1	1	47	16010000
20141128	1	1	54	264500
20141128	1	1	60	101765500
20141128	1	1	64	2015000
20141128	1	1	65	9730000
20141128	1	1	66	208257000
20141128	1	1	67	167960000
20141128	1	1	70	48600000
20141128	1	1	71	11066000
20141128	1	2	4	6652800
20141128	1	2	8	8395000
20141128	1	2	13	2740500
20141128	2	1	-21	6393743
20141128	2	1	-18	213240000
20141128	2	1	-7	1608000
20141128	2	1	-6	67810000
20141128	2	1	-1	258589100
20141128	2	2	-14	3167600
20141129	1	1	1	252251602
20141129	1	1	29	25381200
20141129	1	1	37	103574000
20141129	1	1	45	35317000
20141129	1	1	47	16876000
20141129	1	1	54	321000
20141129	1	1	60	109516500
20141129	1	1	64	3485000
20141129	1	1	65	4120000
20141129	1	1	66	220052000
20141129	1	1	67	174180000
20141129	1	1	70	57370000
20141129	1	1	71	12054000
20141129	1	2	4	7023000
20141129	1	2	8	8564300
20141129	1	2	13	2914000
20141129	2	1	-21	5850053
20141129	2	1	-18	221777500
20141129	2	1	-7	1816000
20141129	2	1	-6	70710000
20141129	2	1	-1	275963000
20141129	2	2	-14	3950600
20141130	1	1	1	251719348
20141130	1	1	29	25430000
20141130	1	1	37	93891500
20141130	1	1	45	25998000
20141130	1	1	47	15464000
20141130	1	1	54	387500
20141130	1	1	60	106328500
20141130	1	1	64	4975000
20141130	1	1	65	2220000
20141130	1	1	66	203960000
20141130	1	1	67	147810000
20141130	1	1	70	49090000
20141130	1	1	71	7379000
20141130	1	2	4	7137400
20141130	1	2	8	8741200
20141130	1	2	13	2870000
20141130	2	1	-21	5606671
20141130	2	1	-18	210732500
20141130	2	1	-7	1635000
20141130	2	1	-6	68045000
20141130	2	1	-1	274473500
20141130	2	2	-14	4263500
