dateid	type	money_type	category	amount
20141201	1	1	1	204142367
20141201	1	1	29	20332100
20141201	1	1	37	72916000
20141201	1	1	45	56497000
20141201	1	1	47	13868000
20141201	1	1	54	387500
20141201	1	1	60	86756000
20141201	1	1	64	4445000
20141201	1	1	65	970000
20141201	1	1	66	153883000
20141201	1	1	67	108350000
20141201	1	1	70	37480000
20141201	1	1	71	4419000
20141201	1	2	4	6546600
20141201	1	2	8	7605600
20141201	1	2	13	2912500
20141201	2	1	-21	4648390
20141201	2	1	-18	173227500
20141201	2	1	-7	1143000
20141201	2	1	-6	57885000
20141201	2	1	-1	218100200
20141201	2	2	-14	4080000
20141202	1	1	1	196620526
20141202	1	1	29	19479200
20141202	1	1	37	77062500
20141202	1	1	45	16553000
20141202	1	1	47	12262000
20141202	1	1	54	418500
20141202	1	1	60	82845000
20141202	1	1	64	4865000
20141202	1	1	65	790000
20141202	1	1	66	141240000
20141202	1	1	67	95430000
20141202	1	1	70	31030000
20141202	1	1	71	4374000
20141202	1	2	4	6363000
20141202	1	2	8	7396500
20141202	1	2	13	2695000
20141202	2	1	-21	4421218
20141202	2	1	-18	160537500
20141202	2	1	-7	1150000
20141202	2	1	-6	54140000
20141202	2	1	-1	218990800
20141202	2	2	-14	4186300
20141203	1	1	1	183236214
20141203	1	1	29	18402300
20141203	1	1	37	71789000
20141203	1	1	45	10450000
20141203	1	1	47	11862000
20141203	1	1	54	510500
20141203	1	1	60	76601000
20141203	1	1	64	4775000
20141203	1	1	65	720000
20141203	1	1	66	125920000
20141203	1	1	67	80080000
20141203	1	1	70	25310000
20141203	1	1	71	3011000
20141203	1	2	4	6153400
20141203	1	2	8	7152100
20141203	1	2	13	2687000
20141203	2	1	-21	4239607
20141203	2	1	-18	145392500
20141203	2	1	-7	980000
20141203	2	1	-6	49445000
20141203	2	1	-1	207555800
20141203	2	2	-14	4636500
20141204	1	1	1	184048114
20141204	1	1	29	19060500
20141204	1	1	37	80587500
20141204	1	1	45	1399000
20141204	1	1	47	11928000
20141204	1	1	54	539000
20141204	1	1	60	76104000
20141204	1	1	64	13330000
20141204	1	1	65	580000
20141204	1	1	66	121435000
20141204	1	1	67	119550000
20141204	1	1	70	23400000
20141204	1	1	71	3381000
20141204	1	2	4	6236400
20141204	1	2	8	6893200
20141204	1	2	13	3017000
20141204	2	1	-21	4030466
20141204	2	1	-18	132900000
20141204	2	1	-7	851000
20141204	2	1	-6	49385000
20141204	2	1	-1	175104800
20141204	2	2	-14	4631100
20141205	1	1	1	204361683
20141205	1	1	29	21329700
20141205	1	1	37	72629000
20141205	1	1	45	3000
20141205	1	1	47	11332000
20141205	1	1	54	556500
20141205	1	1	60	86675500
20141205	1	1	64	9370000
20141205	1	1	65	530000
20141205	1	1	66	137786000
20141205	1	1	67	67980000
20141205	1	1	70	26340000
20141205	1	1	71	3052000
20141205	1	2	4	6869000
20141205	1	2	8	7893800
20141205	1	2	13	3190000
20141205	2	1	-21	4144356
20141205	2	1	-18	143355000
20141205	2	1	-16	90000
20141205	2	1	-7	928000
20141205	2	1	-6	56460000
20141205	2	1	-1	210676500
20141205	2	2	-14	5159000
20141206	1	1	1	215172181
20141206	1	1	29	23101300
20141206	1	1	37	86032000
20141206	1	1	45	3000
20141206	1	1	47	11720000
20141206	1	1	54	637000
20141206	1	1	60	93350000
20141206	1	1	64	9625000
20141206	1	1	65	510000
20141206	1	1	66	148270000
20141206	1	1	67	56480000
20141206	1	1	70	31070000
20141206	1	1	71	4460000
20141206	1	2	4	7189800
20141206	1	2	8	8363900
20141206	1	2	13	3325000
20141206	2	1	-21	4626390
20141206	2	1	-18	163122500
20141206	2	1	-7	1137000
20141206	2	1	-6	60915000
20141206	2	1	-1	230334500
20141206	2	2	-14	5639400
20141207	1	1	1	210431318
20141207	1	1	29	22676500
20141207	1	1	37	87339000
20141207	1	1	45	4000
20141207	1	1	47	11680000
20141207	1	1	54	710000
20141207	1	1	60	91847500
20141207	1	1	64	9410000
20141207	1	1	65	510000
20141207	1	1	66	140154000
20141207	1	1	67	36750000
20141207	1	1	70	28790000
20141207	1	1	71	3255000
20141207	1	2	4	7239200
20141207	1	2	8	8367600
20141207	1	2	13	3409500
20141207	2	1	-21	4713670
20141207	2	1	-18	161280000
20141207	2	1	-7	1033000
20141207	2	1	-6	59100000
20141207	2	1	-1	237722400
20141207	2	2	-14	6097200
20141208	1	1	1	179652874
20141208	1	1	29	18471400
20141208	1	1	37	78827000
20141208	1	1	45	1000
20141208	1	1	47	10448000
20141208	1	1	54	713500
20141208	1	1	60	75690000
20141208	1	1	64	7630000
20141208	1	1	65	140000
20141208	1	1	66	105708000
20141208	1	1	67	16980000
20141208	1	1	70	21480000
20141208	1	1	71	2480000
20141208	1	2	4	6465600
20141208	1	2	8	7959100
20141208	1	2	13	3215500
20141208	2	1	-21	4052499
20141208	2	1	-18	134900000
20141208	2	1	-7	889000
20141208	2	1	-6	50465000
20141208	2	1	-1	189889700
20141208	2	2	-14	5815400
20141209	1	1	1	174162359
20141209	1	1	29	17905100
20141209	1	1	37	92639500
20141209	1	1	45	2000
20141209	1	1	47	10408000
20141209	1	1	54	757000
20141209	1	1	60	74494000
20141209	1	1	64	6500000
20141209	1	1	65	230000
20141209	1	1	66	101505000
20141209	1	1	67	14090000
20141209	1	1	70	20290000
20141209	1	1	71	2343000
20141209	1	2	4	6461400
20141209	1	2	8	8048800
20141209	1	2	13	3185000
20141209	2	1	-21	4137624
20141209	2	1	-18	136500000
20141209	2	1	-7	731000
20141209	2	1	-6	49860000
20141209	2	1	-1	200494000
20141209	2	2	-14	6425500
20141210	1	1	1	173642966
20141210	1	1	29	17313500
20141210	1	1	37	106490000
20141210	1	1	45	1000
20141210	1	1	47	9946000
20141210	1	1	54	765500
20141210	1	1	60	74349500
20141210	1	1	64	6720000
20141210	1	1	65	200000
20141210	1	1	66	97611000
20141210	1	1	67	12340000
20141210	1	1	70	20860000
20141210	1	1	71	1725000
20141210	1	2	4	6440000
20141210	1	2	8	7951200
20141210	1	2	13	3096500
20141210	2	1	-21	4015266
20141210	2	1	-18	136185000
20141210	2	1	-7	706000
20141210	2	1	-6	46465000
20141210	2	1	-1	198331300
20141210	2	2	-14	6983600
20141211	1	1	1	168043629
20141211	1	1	20	2305628
20141211	1	1	29	16502500
20141211	1	1	37	88281500
20141211	1	1	47	9588000
20141211	1	1	54	841000
